Permuatation,Time to Complete,Distance Moved,Error
0,2690.812349319458,"(108, -4)",1
0,1177.0939826965332,"(117, 0)",0
0,1019.2468166351318,"(123, 1)",0
0,1669.2960262298584,"(120, 1)",0
0,1522.071123123169,"(106, 1)",0
1,1014.772891998291,"(121, 3)",0
1,1100.8002758026123,"(135, 4)",0
1,1184.3228340148926,"(116, 5)",0
1,1066.0781860351562,"(130, 6)",0
1,1267.916202545166,"(123, 9)",0
1,910.7255935668945,"(120, 6)",0
1,1060.1296424865723,"(130, 9)",0
1,1426.85866355896,"(124, 3)",0
2,934.0691566467285,"(154, 11)",0
2,815.746545791626,"(188, 5)",0
2,2129.0011405944824,"(153, 7)",0
2,1026.0674953460693,"(147, -2)",0
2,1334.4902992248535,"(144, 18)",1
2,1011.7864608764648,"(128, 3)",0
2,1055.0756454467773,"(134, 11)",0
2,1464.2260074615479,"(140, 24)",0
2,1004.0059089660645,"(165, 6)",0
2,853.0614376068115,"(146, 10)",0
3,1181.4048290252686,"(108, -5)",0
3,1588.8652801513672,"(157, 10)",0
3,954.1795253753662,"(148, 11)",0
3,882.7886581420898,"(250, 2)",0
3,1077.0418643951416,"(170, -3)",0
3,961.0724449157715,"(129, 13)",0
3,1362.1907234191895,"(163, 39)",0
3,1279.0870666503906,"(181, 17)",0
3,1247.1137046813965,"(141, 7)",0
3,973.3517169952393,"(150, 8)",0
3,778.9089679718018,"(150, 6)",0
3,799.2262840270996,"(166, 8)",0
3,787.0433330535889,"(159, 19)",0
3,1350.7359027862549,"(125, 13)",0
3,1410.215139389038,"(125, 11)",0
3,982.4485778808594,"(211, 25)",0
4,1510.920763015747,"(-73, -1)",0
4,1571.713924407959,"(-74, -4)",0
4,1302.3862838745117,"(-92, -3)",0
4,1313.0998611450195,"(-84, -2)",0
4,791.0568714141846,"(-89, -5)",0
4,1385.0398063659668,"(-91, -7)",0
4,1132.3344707489014,"(-77, 2)",0
4,1458.7371349334717,"(-70, -7)",0
4,1174.0896701812744,"(-81, -3)",0
5,9949.166059494019,"(-74, -11)",0
5,1142.1892642974854,"(-42, 11)",0
5,723.5913276672363,"(-94, -7)",0
5,780.1086902618408,"(-68, 0)",0
5,935.157299041748,"(-54, 4)",0
5,856.3270568847656,"(-99, 3)",0
5,865.0631904602051,"(-60, -4)",0
5,1845.8032608032227,"(-64, -9)",0
5,1409.1086387634277,"(-87, 3)",0
5,757.1096420288086,"(-77, -1)",0
5,789.7388935089111,"(-92, 13)",0
6,761.0571384429932,"(-78, 4)",0
6,1394.1411972045898,"(-24, -5)",0
6,866.6281700134277,"(4, -38)",0
6,757.1437358856201,"(3, -1)",0
6,1292.3378944396973,"(18, -9)",0
6,1145.0674533843994,"(17, -9)",0
6,780.066728591919,"(-59, 5)",0
6,553.1964302062988,"(-35, -8)",0
6,1193.0887699127197,"(-6, -4)",0
6,740.5366897583008,"(-31, 0)",0
6,1347.9959964752197,"(14, 5)",0
7,815.8659934997559,"(31, 3)",0
7,1195.2342987060547,"(106, -1)",0
7,733.3214282989502,"(-95, 0)",0
7,1131.6730976104736,"(131, -2)",0
7,868.6802387237549,"(-28, -4)",0
7,689.0509128570557,"(98, 5)",0
7,681.7145347595215,"(55, 11)",0
7,644.052267074585,"(-7, 10)",0
7,618.0455684661865,"(5, -7)",0
8,1798.1336116790771,"(216, -7)",0
8,1616.0001754760742,"(218, -3)",0
8,1459.2247009277344,"(226, 6)",0
8,1510.4408264160156,"(225, -3)",0
8,2666.5287017822266,"(213, 5)",1
8,1439.4009113311768,"(207, 3)",0
8,1286.7248058319092,"(209, 0)",0
8,1734.0831756591797,"(223, 2)",0
8,1612.9124164581299,"(229, -2)",0
9,1492.8374290466309,"(246, -9)",0
9,1416.1477088928223,"(224, 4)",0
9,1357.4326038360596,"(224, 5)",0
9,3202.312707901001,"(229, -1)",1
9,1627.352237701416,"(222, 17)",0
9,2201.8942832946777,"(212, 16)",0
9,1640.1526927947998,"(239, 12)",0
9,1144.3593502044678,"(223, 5)",0
9,1233.9801788330078,"(213, 10)",0
9,1260.594129562378,"(222, 4)",0
10,1483.1993579864502,"(221, 6)",0
10,1553.0970096588135,"(237, 14)",0
10,1195.9669589996338,"(223, 13)",0
10,1429.7292232513428,"(222, 17)",0
10,1003.0772686004639,"(248, 16)",0
10,1266.038179397583,"(225, 10)",0
10,1054.2657375335693,"(247, 7)",0
10,1031.4793586730957,"(260, 6)",0
11,951.9164562225342,"(244, 7)",0
11,784.0609550476074,"(284, 4)",0
11,1012.3975276947021,"(246, 9)",0
11,1326.4849185943604,"(228, 11)",0
11,1025.2768993377686,"(313, 14)",0
11,1420.5241203308105,"(237, 27)",0
11,953.6993503570557,"(251, 18)",0
11,1147.4506855010986,"(227, 23)",0
11,1124.7456073760986,"(247, 24)",0
11,1018.075704574585,"(256, 30)",0
12,1214.4265174865723,"(-187, -2)",0
12,1212.8429412841797,"(-173, -3)",0
12,1230.0505638122559,"(-195, 6)",0
12,1201.6966342926025,"(-180, 1)",0
12,1131.086826324463,"(-183, -1)",0
12,1803.1582832336426,"(-184, -2)",1
12,1604.7959327697754,"(-183, 1)",1
12,1370.100736618042,"(-181, -6)",0
13,1567.9597854614258,"(-176, 23)",0
13,1383.1450939178467,"(-165, -7)",0
13,920.9492206573486,"(-161, 0)",0
13,1358.1626415252686,"(-159, 7)",0
13,1340.559959411621,"(-153, -8)",0
13,1271.7361450195312,"(-149, -4)",0
13,1178.2090663909912,"(-159, 0)",0
13,994.8582649230957,"(-160, 1)",0
13,1551.5329837799072,"(-165, 2)",0
13,960.0706100463867,"(-166, -5)",0
13,881.0000419616699,"(-158, -13)",0
13,923.7430095672607,"(-150, -18)",0
13,1522.9928493499756,"(-173, 1)",1
14,1586.1186981201172,"(-98, 4)",0
14,821.92063331604,"(-147, 2)",0
14,965.0728702545166,"(-106, 11)",0
14,1148.6866474151611,"(-125, -8)",0
14,784.0602397918701,"(-134, -3)",0
14,940.7825469970703,"(-105, 3)",0
14,1066.523790359497,"(-91, -12)",0
14,756.9007873535156,"(-115, -5)",0
14,1335.5469703674316,"(-95, 2)",0
14,755.41090965271,"(-115, -1)",0
14,1043.0748462677002,"(-108, -10)",0
14,960.0653648376465,"(-78, -7)",0
14,792.0577526092529,"(-89, -4)",0
14,861.1671924591064,"(-112, -7)",0
15,678.0471801757812,"(31, -3)",0
15,701.0531425476074,"(-13, 0)",0
15,705.8751583099365,"(43, -3)",0
15,1295.762538909912,"(-6, 5)",0
15,646.0497379302979,"(-63, -9)",0
15,694.9887275695801,"(-100, 1)",0
15,798.591136932373,"(-100, -8)",0
15,708.0528736114502,"(-51, -8)",0
15,759.8540782928467,"(-29, 0)",0
15,665.0469303131104,"(-17, 3)",0
15,660.1569652557373,"(-3, 2)",0
16,1574.1407871246338,"(318, -3)",0
16,1558.5155487060547,"(324, 6)",0
16,2122.403144836426,"(318, 0)",0
16,3622.770071029663,"(316, -5)",0
16,1258.3534717559814,"(311, 0)",0
16,2503.1771659851074,"(309, 1)",0
16,1836.409091949463,"(316, 1)",1
16,2478.360652923584,"(308, 9)",1
16,1566.9763088226318,"(321, -2)",0
16,1890.906572341919,"(325, 5)",0
16,1466.581106185913,"(321, -3)",0
16,2577.488422393799,"(326, -7)",0
17,1265.289545059204,"(339, 2)",0
17,1256.9451332092285,"(313, 14)",0
17,1873.7404346466064,"(345, -7)",0
17,1555.1865100860596,"(321, -13)",0
17,1492.419958114624,"(319, 6)",0
17,2061.797618865967,"(330, 1)",0
18,1043.647050857544,"(332, -5)",0
18,1147.8557586669922,"(346, 31)",0
18,1644.423007965088,"(333, 14)",0
18,1248.521089553833,"(351, 20)",0
18,1508.3434581756592,"(406, 27)",0
18,1357.5928211212158,"(358, -1)",0
18,1364.5434379577637,"(306, 12)",0
18,1286.4880561828613,"(328, 12)",0
18,1191.6189193725586,"(338, 3)",0
18,1950.9880542755127,"(344, 12)",0
18,1161.0853672027588,"(304, 5)",0
19,1087.0680809020996,"(334, -1)",0
19,1955.3167819976807,"(350, 19)",0
19,1426.6445636749268,"(396, 44)",0
19,1187.0906352996826,"(325, 10)",0
19,1045.8056926727295,"(358, 18)",0
19,1038.7187004089355,"(399, -1)",0
19,1004.5020580291748,"(393, 7)",0
19,1185.3489875793457,"(333, 23)",0
19,1286.0970497131348,"(370, 53)",0
20,1693.5086250305176,"(-293, -5)",0
20,1409.0123176574707,"(-276, -4)",0
20,1569.5064067840576,"(-278, -6)",0
20,1225.4221439361572,"(-296, -1)",0
20,1542.6397323608398,"(-291, -3)",0
20,1630.1641464233398,"(-295, 2)",0
20,2433.02321434021,"(-290, -6)",0
20,1970.8540439605713,"(-269, 6)",0
20,1946.9561576843262,"(-291, -10)",0
20,1397.512435913086,"(-276, 2)",0
20,2841.917037963867,"(-280, -1)",0
20,1828.4008502960205,"(-280, 7)",0
21,1397.714376449585,"(-286, 15)",0
21,1721.2371826171875,"(-263, 5)",0
21,1232.2640419006348,"(-284, 2)",0
21,1117.3930168151855,"(-284, -4)",0
21,1211.803674697876,"(-245, -2)",0
21,2100.3739833831787,"(-256, -10)",0
21,1095.0782299041748,"(-266, 8)",0
21,1335.9010219573975,"(-262, 0)",0
21,1344.1765308380127,"(-240, 0)",0
21,1205.2547931671143,"(-286, -14)",0
