Permuatation,Time to Complete,Distance Moved,Error
14,637.608528137207,"(-140, 22)",0
15,828.4578323364258,"(-9, 9)",0
15,563.78173828125,"(-15, 9)",0
15,559.5076084136963,"(-12, -9)",0
15,464.62321281433105,"(-71, -6)",0
15,487.3838424682617,"(36, -18)",0
15,644.3750858306885,"(-33, 3)",0
15,750.4994869232178,"(12, -7)",0
15,935.3761672973633,"(-175, -3)",1
15,577.7223110198975,"(55, 13)",0
15,698.026180267334,"(-90, -13)",0
15,452.4836540222168,"(-57, -1)",0
16,1822.0553398132324,"(321, -1)",0
16,753.0004978179932,"(329, 2)",0
16,1104.1626930236816,"(304, 0)",0
16,702.1324634552002,"(307, -2)",0
16,701.977014541626,"(301, -15)",0
16,1005.0444602966309,"(314, -1)",0
16,1029.7257900238037,"(307, 1)",0
16,666.1303043365479,"(311, -3)",0
16,822.7739334106445,"(321, -7)",0
16,1065.0029182434082,"(309, 3)",0
17,1308.6073398590088,"(348, -1)",1
17,810.5781078338623,"(328, 7)",0
17,647.9997634887695,"(342, 9)",0
17,900.3746509552002,"(310, -14)",0
17,963.5229110717773,"(335, 0)",0
17,1071.232557296753,"(315, -5)",0
17,942.702054977417,"(332, 11)",0
17,1203.0258178710938,"(356, -6)",0
17,2658.841371536255,"(317, -20)",0
17,1263.3018493652344,"(356, -6)",1
17,823.0009078979492,"(332, -1)",0
18,813.8861656188965,"(320, 0)",0
18,846.1661338806152,"(413, 8)",0
18,907.1922302246094,"(401, 40)",0
18,867.210865020752,"(317, -11)",0
18,1227.0798683166504,"(305, 5)",1
18,757.9760551452637,"(335, 19)",0
19,906.5189361572266,"(441, 16)",0
19,1051.405668258667,"(495, 25)",1
19,539.0005111694336,"(368, -22)",0
19,764.8341655731201,"(364, -22)",0
19,434.755802154541,"(398, -4)",0
19,640.2850151062012,"(448, 4)",0
19,1109.6701622009277,"(453, -1)",1
19,713.0842208862305,"(382, 8)",0
19,464.0002250671387,"(322, -2)",0
19,642.4109935760498,"(416, 43)",0
19,611.0005378723145,"(454, 7)",0
20,1210.0133895874023,"(-294, 6)",0
20,981.2676906585693,"(-275, 3)",1
20,1068.4118270874023,"(-300, 3)",0
20,1857.686996459961,"(-277, 4)",1
20,1671.6372966766357,"(-278, 0)",1
20,1016.035795211792,"(-284, -1)",0
20,903.8479328155518,"(-283, 5)",0
20,1181.600570678711,"(-283, -3)",0
20,1019.6690559387207,"(-272, -3)",0
20,1209.2704772949219,"(-287, -4)",0
20,1568.253993988037,"(-269, -9)",1
20,1326.7097473144531,"(-272, 8)",0
20,1393.6078548431396,"(-294, -7)",1
20,831.8660259246826,"(-270, 9)",0
20,908.0748558044434,"(-293, -7)",0
21,652.0626544952393,"(-283, 12)",0
21,1080.6188583374023,"(-260, 2)",0
21,570.3201293945312,"(-256, -6)",0
21,786.4711284637451,"(-279, 8)",0
21,1181.711196899414,"(-284, -2)",0
21,763.5538578033447,"(-254, 16)",0
21,1549.7534275054932,"(-279, -1)",1
22,846.0018634796143,"(-220, 19)",0
22,673.2747554779053,"(-190, 42)",0
22,599.0996360778809,"(-229, -2)",0
22,937.1719360351562,"(-247, 0)",0
22,865.0462627410889,"(-244, 11)",0
22,1041.9995784759521,"(-268, -2)",0
22,657.2341918945312,"(-188, -7)",0
22,707.8890800476074,"(-215, 0)",0
22,931.2524795532227,"(-196, 15)",0
22,885.0023746490479,"(-280, 21)",0
22,999.3860721588135,"(-252, 22)",0
23,296.00977897644043,"(-175, 2)",0
23,702.9991149902344,"(-225, 12)",0
23,429.0008544921875,"(-133, -2)",0
23,567.5535202026367,"(-120, -3)",0
23,730.7984828948975,"(-252, 4)",0
23,539.1709804534912,"(-224, -27)",0
23,447.02744483947754,"(-78, -4)",0
23,514.0001773834229,"(-168, 8)",0
23,437.99710273742676,"(-106, 5)",0
23,495.10717391967773,"(-148, -18)",0
24,1199.5849609375,"(415, 2)",0
24,844.3984985351562,"(408, 4)",0
24,1196.2497234344482,"(403, -8)",0
24,1192.1031475067139,"(422, 2)",0
24,1102.1037101745605,"(410, -2)",0
24,856.316089630127,"(409, -1)",0
24,724.4460582733154,"(408, -6)",0
24,761.2102031707764,"(407, 14)",0
24,1348.5920429229736,"(409, -6)",0
25,773.0827331542969,"(437, -18)",0
25,1703.0766010284424,"(419, 6)",1
25,999.091386795044,"(428, -9)",0
25,1150.3593921661377,"(418, -5)",0
25,1129.6677589416504,"(435, 1)",0
25,778.1689167022705,"(430, 24)",0
25,1142.6007747650146,"(410, -1)",0
25,1306.990623474121,"(444, 9)",0
25,151.0303020477295,"(435, 18)",0
25,1107.870101928711,"(406, 0)",0
25,940.9079551696777,"(447, 7)",0
25,1673.7091541290283,"(459, 0)",1
26,1175.1220226287842,"(437, -29)",0
26,937.7312660217285,"(487, 9)",0
26,901.0028839111328,"(404, -12)",0
26,1200.2389430999756,"(487, 16)",0
26,749.0012645721436,"(475, -15)",0
26,1182.8675270080566,"(446, 15)",0
26,864.3112182617188,"(482, 7)",0
26,1134.4778537750244,"(406, 3)",1
26,666.6855812072754,"(518, 2)",0
26,775.2633094787598,"(428, 29)",0
27,702.2190093994141,"(548, -22)",0
27,855.5989265441895,"(545, 2)",0
27,760.2725028991699,"(405, -10)",0
27,1113.8434410095215,"(448, 28)",1
27,1024.5022773742676,"(445, 16)",1
27,924.2925643920898,"(565, 39)",0
27,607.5584888458252,"(562, 11)",0
27,550.2629280090332,"(507, 14)",0
28,949.3544101715088,"(-390, 7)",0
28,625.7009506225586,"(-395, -8)",0
28,1169.0809726715088,"(-385, 11)",0
28,1654.5805931091309,"(-393, -14)",0
28,1998.9330768585205,"(-391, -3)",1
28,1179.05592918396,"(-385, -5)",0
29,945.8591938018799,"(-359, -5)",0
29,1109.2698574066162,"(-349, 8)",0
29,792.1979427337646,"(-358, 9)",0
29,876.0979175567627,"(-359, -4)",0
29,963.8485908508301,"(-345, 11)",0
29,765.0737762451172,"(-394, -4)",0
29,1305.490493774414,"(-341, 1)",0
29,1213.7315273284912,"(-346, 26)",0
29,1521.852731704712,"(-337, 9)",1
29,758.6116790771484,"(-356, 9)",0
29,1272.0155715942383,"(-358, 29)",0
29,945.8258152008057,"(-364, 2)",0
29,962.5306129455566,"(-391, 12)",0
29,1188.0011558532715,"(-370, 1)",0
30,784.4812870025635,"(-301, 7)",0
30,898.061990737915,"(-322, -2)",0
30,679.8641681671143,"(-314, 5)",0
30,689.8162364959717,"(-288, -27)",0
30,1021.8887329101562,"(-300, 19)",0
31,1016.9222354888916,"(-161, -7)",1
31,455.2474021911621,"(-290, -1)",0
31,1205.9521675109863,"(-243, 1)",0
31,795.3026294708252,"(-194, -4)",0
31,815.0453567504883,"(-252, 19)",0
31,624.2399215698242,"(-321, 9)",0
31,814.136266708374,"(-397, -26)",0
31,547.8453636169434,"(-207, 0)",0
31,609.6668243408203,"(-266, -13)",0
31,738.5520935058594,"(-219, 22)",0
