Permuatation,Time to Complete,Distance Moved,Error
0,1767.742395401001,"(121, 2)",2
0,717.0155048370361,"(127, -2)",0
0,836.1809253692627,"(123, 0)",0
0,852.1134853363037,"(105, -9)",0
0,975.7161140441895,"(117, 5)",0
0,857.1317195892334,"(122, -5)",0
0,677.6504516601562,"(108, -9)",0
0,576.5790939331055,"(122, -6)",0
0,834.174394607544,"(125, 0)",0
0,1432.950735092163,"(114, 1)",1
0,930.8211803436279,"(126, -2)",0
0,761.4011764526367,"(124, 10)",0
1,790.0111675262451,"(143, 10)",0
1,642.5817012786865,"(147, 6)",0
1,649.1818428039551,"(118, -2)",0
1,545.783281326294,"(141, 11)",0
1,569.9975490570068,"(131, 2)",0
1,621.4609146118164,"(127, 4)",0
1,590.0344848632812,"(146, -2)",0
1,790.6663417816162,"(101, 2)",0
1,808.030366897583,"(148, 16)",0
1,1075.0997066497803,"(116, 26)",1
1,523.2455730438232,"(121, 0)",0
1,714.2508029937744,"(144, -2)",0
1,695.0283050537109,"(124, 5)",0
1,894.4621086120605,"(154, -15)",0
2,570.6801414489746,"(137, 1)",0
2,497.68924713134766,"(107, 7)",0
2,464.34855461120605,"(180, -6)",0
2,609.083890914917,"(138, 7)",0
2,682.0695400238037,"(122, 10)",0
3,618.1838512420654,"(128, -39)",0
3,495.35536766052246,"(172, 14)",0
3,484.6014976501465,"(122, 2)",0
3,455.14965057373047,"(269, -1)",0
3,470.43561935424805,"(186, 12)",0
3,432.3136806488037,"(184, 3)",0
3,410.0759029388428,"(195, 9)",0
3,448.1654167175293,"(196, 0)",0
3,692.0077800750732,"(292, 15)",0
3,524.9478816986084,"(149, 2)",0
3,540.9116744995117,"(209, 10)",0
3,533.7920188903809,"(223, 9)",0
3,472.28240966796875,"(203, 16)",0
4,1478.5962104797363,"(-97, -6)",1
4,922.1751689910889,"(-85, -4)",0
4,1354.9892902374268,"(-93, -5)",1
4,671.0736751556396,"(-91, 0)",0
4,813.0092620849609,"(-84, -1)",0
4,683.6245059967041,"(-93, 5)",0
4,985.6472015380859,"(-82, 2)",0
4,907.9113006591797,"(-93, -11)",0
4,696.5279579162598,"(-88, -3)",0
4,659.1813564300537,"(-77, -7)",0
4,943.5842037200928,"(-72, -7)",0
4,833.8825702667236,"(-91, -1)",0
4,887.0639801025391,"(-81, -2)",0
5,713.2556438446045,"(-51, 0)",0
5,725.3804206848145,"(-90, -14)",0
5,591.7670726776123,"(-55, 3)",0
5,555.9988021850586,"(-64, 9)",0
5,582.7264785766602,"(-69, 1)",0
5,708.916187286377,"(-89, 2)",0
5,503.9088726043701,"(-73, -8)",0
5,516.8981552124023,"(-82, 1)",0
5,916.7211055755615,"(-78, 1)",1
6,733.6983680725098,"(1, 11)",0
6,578.5481929779053,"(0, 4)",0
6,422.62959480285645,"(-94, 0)",0
6,381.9389343261719,"(21, -3)",0
6,696.8958377838135,"(-25, -12)",0
6,518.6736583709717,"(-53, 2)",0
6,502.3171901702881,"(-56, 0)",0
7,1003.9784908294678,"(-66, 2)",1
7,376.1250972747803,"(33, 11)",0
7,359.12442207336426,"(-7, 0)",0
7,613.9125823974609,"(83, 7)",0
7,392.6098346710205,"(63, -1)",0
7,510.99658012390137,"(-34, 5)",0
7,587.1176719665527,"(-15, 6)",0
7,582.9112529754639,"(17, 9)",0
7,573.2676982879639,"(-50, -12)",0
8,1106.3058376312256,"(218, 2)",0
8,1194.2181587219238,"(211, -5)",0
8,762.7639770507812,"(227, 6)",0
8,1550.0562191009521,"(225, -2)",0
8,693.0809020996094,"(212, 5)",0
8,749.5784759521484,"(208, -6)",0
8,738.5156154632568,"(220, -1)",0
8,966.325044631958,"(212, -3)",0
8,765.967845916748,"(219, 6)",0
8,789.0074253082275,"(208, -10)",0
8,1119.4326877593994,"(210, -5)",0
8,910.9463691711426,"(202, 11)",0
9,850.8224487304688,"(257, 2)",0
9,644.1733837127686,"(209, 6)",0
9,989.8960590362549,"(253, 12)",0
9,537.4557971954346,"(238, 8)",0
9,616.0829067230225,"(226, 2)",0
10,631.1633586883545,"(286, -3)",0
10,564.8889541625977,"(269, 13)",0
10,654.0005207061768,"(239, 7)",0
10,891.2098407745361,"(237, 6)",0
10,633.9468955993652,"(267, -4)",0
10,605.4942607879639,"(283, -16)",0
10,652.7101993560791,"(203, 0)",0
10,668.5352325439453,"(311, 12)",0
11,773.2601165771484,"(295, 10)",0
11,745.7354068756104,"(280, 0)",0
11,579.9806118011475,"(251, 18)",0
11,509.7949504852295,"(316, -4)",0
11,455.16514778137207,"(306, 7)",0
11,641.899824142456,"(308, 9)",0
11,495.3615665435791,"(250, -3)",0
