Permuatation,Time to Complete,Distance Moved,Error
0,953.8218975067139,"(128, -1)",0
0,1178.3454418182373,"(116, -3)",0
0,872.7421760559082,"(113, 1)",0
0,1284.7263813018799,"(117, 1)",0
0,1116.711139678955,"(106, 5)",0
0,977.9515266418457,"(115, -4)",0
0,1211.6894721984863,"(116, 1)",0
0,1232.4354648590088,"(112, 2)",0
0,920.0682640075684,"(117, 0)",0
0,1243.9565658569336,"(116, 3)",0
0,1386.3418102264404,"(120, 5)",0
0,967.3449993133545,"(108, -2)",0
0,909.2369079589844,"(119, 6)",0
0,1777.2324085235596,"(114, 3)",0
1,1246.2997436523438,"(133, -6)",0
1,938.7586116790771,"(127, 2)",0
1,1102.5364398956299,"(152, 0)",0
1,954.7250270843506,"(144, -6)",0
1,1087.05472946167,"(133, 0)",0
1,854.9861907958984,"(110, 2)",0
1,1274.2161750793457,"(147, 8)",0
1,904.6230316162109,"(133, -11)",0
1,996.0963726043701,"(129, -10)",0
1,1175.1809120178223,"(138, 3)",0
1,864.9277687072754,"(113, 7)",0
2,749.2697238922119,"(151, 1)",0
2,842.2913551330566,"(141, -6)",0
2,772.5396156311035,"(188, -7)",0
2,661.9575023651123,"(169, -16)",0
2,626.1327266693115,"(167, 2)",0
2,623.1906414031982,"(137, 14)",0
2,796.5683937072754,"(151, 9)",0
2,1070.080041885376,"(150, -14)",0
3,1022.6457118988037,"(207, 22)",0
3,804.9001693725586,"(163, 73)",0
3,1037.0151996612549,"(255, 21)",0
3,929.4569492340088,"(244, 23)",0
3,622.6034164428711,"(205, 15)",0
3,601.2897491455078,"(208, 13)",0
3,715.1083946228027,"(236, 4)",0
3,853.2352447509766,"(188, -5)",0
3,826.4143466949463,"(146, 14)",0
3,739.0916347503662,"(170, 16)",0
3,1336.3077640533447,"(221, 0)",0
3,704.3507099151611,"(213, -1)",0
3,602.4870872497559,"(214, 13)",0
4,1327.8894424438477,"(-88, -2)",0
4,1007.6155662536621,"(-74, -5)",0
4,2237.422466278076,"(-88, 4)",1
4,1090.3232097625732,"(-86, -1)",0
4,1391.5166854858398,"(-91, -4)",0
4,1081.1474323272705,"(-83, 4)",0
4,1282.226800918579,"(-91, 12)",0
4,1379.2006969451904,"(-81, 0)",0
4,714.484453201294,"(-84, 1)",0
5,934.1576099395752,"(-59, 0)",0
5,1074.3980407714844,"(-75, -8)",0
5,924.8130321502686,"(-52, -4)",0
5,980.1285266876221,"(-58, -3)",0
5,668.4184074401855,"(-61, -1)",0
5,1187.8418922424316,"(-64, -7)",0
5,815.7680034637451,"(-85, 8)",0
5,1309.1962337493896,"(-62, 0)",0
6,838.4227752685547,"(-67, -9)",0
6,999.9227523803711,"(-97, -4)",0
6,1050.3230094909668,"(9, 0)",0
6,1115.1363849639893,"(-40, -2)",0
6,661.5805625915527,"(-19, 3)",0
6,727.7176380157471,"(-40, -9)",0
6,746.8304634094238,"(-59, -2)",0
6,825.1557350158691,"(-90, -2)",0
6,740.2079105377197,"(-34, -8)",0
6,1011.2314224243164,"(-87, -5)",0
6,810.5876445770264,"(-11, -4)",0
6,979.7384738922119,"(-75, 12)",0
6,484.1761589050293,"(-58, -12)",0
7,816.9667720794678,"(73, 3)",0
7,759.0682506561279,"(-16, -12)",0
7,963.752269744873,"(125, -29)",0
7,1056.9825172424316,"(-32, 2)",0
7,863.7151718139648,"(20, 3)",0
7,884.3338489532471,"(60, -22)",0
7,924.1921901702881,"(-28, -44)",0
7,893.834114074707,"(58, -12)",0
8,1124.2620944976807,"(200, -4)",0
8,1400.0778198242188,"(209, -2)",0
8,1182.6660633087158,"(227, -7)",0
8,1215.5520915985107,"(220, 1)",0
8,1216.6016101837158,"(220, 8)",0
8,1083.7182998657227,"(213, -4)",0
8,1368.2386875152588,"(216, -7)",0
9,1088.8254642486572,"(223, 16)",0
9,1040.0092601776123,"(218, -9)",0
9,1726.6032695770264,"(228, 4)",0
9,796.3957786560059,"(226, 2)",0
9,1301.5196323394775,"(231, 1)",0
9,731.7290306091309,"(245, 6)",0
9,924.4763851165771,"(233, 4)",0
9,1317.436933517456,"(223, 0)",0
9,913.5651588439941,"(227, -2)",0
10,1086.6403579711914,"(304, 27)",0
10,759.6495151519775,"(298, 15)",0
10,1050.3389835357666,"(253, 12)",0
10,1112.2722625732422,"(264, -1)",0
10,730.3462028503418,"(311, 4)",0
10,698.6076831817627,"(281, -3)",0
10,708.8325023651123,"(225, -17)",0
10,1034.9950790405273,"(272, 7)",0
10,651.1809825897217,"(269, -3)",0
11,593.3287143707275,"(245, 33)",0
11,715.8644199371338,"(288, 17)",0
11,1019.3967819213867,"(314, 6)",0
11,1005.1090717315674,"(329, 15)",0
11,577.2221088409424,"(338, 19)",0
11,1330.3892612457275,"(283, -8)",0
11,768.6066627502441,"(284, -14)",0
11,583.0674171447754,"(325, 15)",0
11,749.9370574951172,"(273, 28)",0
11,704.230546951294,"(287, 3)",0
11,667.8917407989502,"(297, 11)",0
12,690.0413036346436,"(-173, -5)",0
12,1377.8655529022217,"(-180, 1)",0
12,1323.023796081543,"(-185, -3)",0
12,1154.7448635101318,"(-197, -3)",0
12,1033.8013172149658,"(-182, -1)",0
12,1042.860507965088,"(-194, 5)",0
12,1216.2678241729736,"(-189, 8)",0
12,1019.0534591674805,"(-187, -5)",0
12,1475.0313758850098,"(-188, -2)",1
12,992.3965930938721,"(-185, 3)",0
12,1065.1869773864746,"(-181, 2)",0
12,1230.1018238067627,"(-179, -3)",0
12,1291.5148735046387,"(-193, -1)",0
12,1073.751449584961,"(-185, -3)",0
13,817.8679943084717,"(-191, -7)",0
13,904.3996334075928,"(-178, 4)",0
13,843.8632488250732,"(-170, -11)",0
13,975.433349609375,"(-160, -4)",0
13,1132.0013999938965,"(-159, -5)",0
13,1060.0864887237549,"(-167, -1)",0
13,1138.3416652679443,"(-173, -8)",0
13,1494.8675632476807,"(-163, 9)",0
13,1319.087266921997,"(-161, 5)",0
14,1395.6127166748047,"(-121, -77)",0
14,1107.0213317871094,"(-97, 0)",0
14,832.2849273681641,"(-111, 6)",0
14,777.2600650787354,"(-159, 3)",0
14,860.938310623169,"(-122, -9)",0
14,822.5533962249756,"(-160, -7)",0
14,672.684907913208,"(-135, -13)",0
14,1134.5555782318115,"(-135, -20)",0
14,691.8504238128662,"(-134, 11)",0
14,927.8380870819092,"(-168, -12)",0
15,743.2370185852051,"(-76, 11)",0
15,498.4924793243408,"(-95, 2)",0
15,567.7871704101562,"(-170, -2)",0
15,779.3827056884766,"(-117, 1)",0
15,653.7110805511475,"(-150, -32)",0
15,716.75705909729,"(-42, -17)",0
15,810.1725578308105,"(-122, -17)",0
16,1265.2876377105713,"(301, -4)",0
16,905.1380157470703,"(306, -8)",0
16,933.6259365081787,"(326, 4)",0
16,879.894495010376,"(327, 12)",0
16,1399.1060256958008,"(315, -8)",0
16,1217.2367572784424,"(319, 2)",0
16,1350.776195526123,"(313, 3)",0
16,1104.053258895874,"(329, -1)",0
16,1758.2156658172607,"(312, 1)",0
16,1250.3950595855713,"(311, -1)",0
16,916.4595603942871,"(320, -2)",0
17,812.5615119934082,"(346, -3)",0
17,773.1354236602783,"(326, 16)",0
17,903.8405418395996,"(325, 12)",0
17,1372.5299835205078,"(329, 5)",0
17,1186.2716674804688,"(321, 3)",0
17,1016.303539276123,"(310, 1)",0
17,777.4562835693359,"(331, 1)",0
17,948.1189250946045,"(333, -5)",0
18,1066.9636726379395,"(359, -2)",0
18,784.3973636627197,"(373, 14)",0
18,687.9491806030273,"(343, 15)",0
18,1165.1701927185059,"(344, 0)",0
18,871.9453811645508,"(384, -1)",0
18,1117.0289516448975,"(333, 10)",0
18,1151.6828536987305,"(357, 11)",0
18,1003.6880970001221,"(348, 2)",0
18,1037.1067523956299,"(324, 19)",0
18,1228.114366531372,"(389, -1)",0
18,752.4294853210449,"(324, 22)",0
18,910.9892845153809,"(335, 32)",0
18,868.4773445129395,"(331, 1)",0
19,1357.8169345855713,"(425, -36)",0
19,665.5893325805664,"(449, -11)",0
19,776.505708694458,"(434, -8)",0
19,1121.2701797485352,"(428, 1)",0
19,689.5730495452881,"(383, 13)",0
19,793.426513671875,"(370, -21)",0
19,819.7803497314453,"(421, -31)",0
20,1550.1651763916016,"(-290, -9)",0
20,1164.271354675293,"(-272, -11)",0
20,1128.6036968231201,"(-292, -8)",0
20,1050.1861572265625,"(-285, 0)",0
20,1303.7679195404053,"(-284, -5)",0
21,1046.1671352386475,"(-270, -5)",0
21,1018.6960697174072,"(-271, 0)",0
21,944.4489479064941,"(-253, -5)",0
21,924.2072105407715,"(-275, -15)",0
21,847.1708297729492,"(-268, -9)",0
21,928.9107322692871,"(-290, -7)",0
21,1036.8812084197998,"(-272, -11)",0
21,1090.7769203186035,"(-274, 3)",0
21,794.9447631835938,"(-291, 1)",0
21,1634.4265937805176,"(-293, 2)",1
21,884.5419883728027,"(-278, 4)",0
21,995.2850341796875,"(-278, -2)",0
21,829.9729824066162,"(-279, -3)",0
21,1109.1103553771973,"(-278, 2)",0
21,951.6525268554688,"(-275, 13)",0
22,1237.7691268920898,"(-222, -12)",0
22,882.7791213989258,"(-256, 4)",0
22,852.4332046508789,"(-240, -2)",0
22,902.287483215332,"(-269, -10)",0
22,1002.1791458129883,"(-218, -26)",0
22,707.8132629394531,"(-234, -4)",0
22,728.6174297332764,"(-222, 1)",0
22,617.1188354492188,"(-221, 6)",0
22,646.8532085418701,"(-266, 2)",0
23,610.7592582702637,"(-126, -13)",0
23,649.3279933929443,"(-282, 2)",0
23,525.3796577453613,"(-97, -7)",0
23,557.1534633636475,"(-157, -18)",0
23,832.2250843048096,"(-210, 5)",0
23,852.1392345428467,"(-132, -16)",0
23,713.5016918182373,"(-276, -24)",0
23,879.7345161437988,"(-241, -14)",0
23,890.4948234558105,"(-206, 10)",0
24,1029.663324356079,"(420, 9)",0
24,1314.3033981323242,"(416, 4)",0
24,998.4903335571289,"(410, 2)",0
24,1411.3974571228027,"(406, -3)",0
24,1171.684741973877,"(409, -1)",0
24,1049.8559474945068,"(419, 5)",0
24,1697.0529556274414,"(415, -2)",0
24,1171.4556217193604,"(420, 6)",0
24,1278.3854007720947,"(407, -5)",0
24,1677.8573989868164,"(414, 4)",0
24,1291.5599346160889,"(412, 4)",0
24,1414.7038459777832,"(409, -1)",0
25,1032.3786735534668,"(415, 4)",0
25,1167.4621105194092,"(428, -7)",0
25,915.6432151794434,"(436, -2)",0
25,1002.6116371154785,"(430, 2)",0
25,1024.3761539459229,"(439, -7)",0
25,1084.6021175384521,"(433, -11)",0
25,949.2175579071045,"(437, -13)",0
25,1339.3542766571045,"(446, 3)",0
25,1698.2262134552002,"(415, -6)",0
25,1283.7543487548828,"(430, 0)",0
25,1086.8585109710693,"(419, -1)",0
25,971.6322422027588,"(440, -1)",0
25,1005.5232048034668,"(440, 2)",0
26,1051.2466430664062,"(447, 18)",0
26,955.7323455810547,"(455, 22)",0
26,800.8427619934082,"(496, 27)",0
26,838.4881019592285,"(415, -16)",0
26,1233.9434623718262,"(443, -1)",0
26,727.9262542724609,"(449, 8)",0
26,1407.759428024292,"(438, -4)",0
26,1428.961992263794,"(460, 2)",0
26,959.1987133026123,"(482, -10)",0
26,750.1623630523682,"(438, 2)",0
26,993.3383464813232,"(515, 2)",0
26,790.358304977417,"(465, -2)",0
26,992.8297996520996,"(452, 1)",0
27,796.5679168701172,"(496, -5)",0
27,910.5916023254395,"(515, -6)",0
27,680.3305149078369,"(441, 16)",0
27,1166.8620109558105,"(514, -18)",0
27,851.1612415313721,"(470, 16)",0
27,776.6027450561523,"(459, 21)",0
27,717.8735733032227,"(447, -8)",0
27,909.7976684570312,"(513, 33)",0
28,1409.3434810638428,"(-394, 4)",0
28,1428.3511638641357,"(-381, -7)",0
28,973.6328125,"(-397, -5)",0
28,983.5216999053955,"(-382, -2)",0
28,953.322172164917,"(-390, -2)",0
28,1046.248197555542,"(-391, -1)",0
28,1053.1976222991943,"(-380, -7)",0
28,1553.5600185394287,"(-383, -3)",0
28,1492.9237365722656,"(-383, -2)",0
28,1271.6610431671143,"(-395, -2)",0
28,1448.6510753631592,"(-390, 5)",0
29,837.1210098266602,"(-367, 4)",0
29,1480.7283878326416,"(-380, -3)",0
29,763.1950378417969,"(-346, -3)",0
29,1281.9335460662842,"(-364, -3)",0
29,836.3087177276611,"(-360, 7)",0
29,1334.2812061309814,"(-369, 0)",0
30,1142.303228378296,"(-312, -5)",0
30,752.5770664215088,"(-307, -3)",0
30,1129.5311450958252,"(-349, -3)",0
30,1048.966884613037,"(-342, -9)",0
30,1094.292163848877,"(-376, -7)",0
30,750.6506443023682,"(-303, -16)",0
30,991.8429851531982,"(-354, -7)",0
30,1308.5694313049316,"(-357, 38)",0
30,913.7775897979736,"(-351, -2)",0
30,1029.3617248535156,"(-358, -1)",0
31,820.648193359375,"(-292, -2)",0
31,808.3610534667969,"(-274, -1)",0
31,768.343448638916,"(-259, -4)",0
31,604.9225330352783,"(-234, -47)",0
31,625.0050067901611,"(-274, -12)",0
31,639.6589279174805,"(-161, -3)",0
31,967.792272567749,"(-235, 2)",0
31,551.2735843658447,"(-179, -15)",0
31,640.6970024108887,"(-227, -1)",0
31,694.0853595733643,"(-230, -1)",0
