Permuatation,Time to Complete,Distance Moved,Error
0,929.7490119934082,"(115, 3)",0
0,1083.4910869598389,"(113, -7)",0
0,963.1428718566895,"(126, 2)",0
0,1037.8401279449463,"(126, 5)",0
0,823.4398365020752,"(115, 5)",0
0,1186.6748332977295,"(123, 5)",0
0,979.8450469970703,"(110, 9)",0
0,737.6551628112793,"(106, 3)",0
0,798.1445789337158,"(114, 4)",0
1,1216.3059711456299,"(150, 14)",1
1,807.103157043457,"(142, 3)",0
1,746.6962337493896,"(162, -7)",0
1,1163.9628410339355,"(112, 1)",0
1,3102.24986076355,"(113, -4)",0
1,1415.8577919006348,"(132, 16)",0
2,562.3409748077393,"(144, -19)",0
2,969.1741466522217,"(134, -12)",0
2,735.2099418640137,"(155, 2)",0
2,1101.525068283081,"(124, 15)",1
2,572.5481510162354,"(159, 18)",0
2,823.4899044036865,"(167, -11)",0
2,569.098949432373,"(189, 12)",0
2,765.8507823944092,"(176, -29)",0
2,566.5922164916992,"(203, 18)",0
3,643.5878276824951,"(144, 6)",0
3,699.8598575592041,"(154, -3)",0
3,657.8991413116455,"(186, 1)",0
3,555.1619529724121,"(233, 17)",0
3,849.6098518371582,"(136, -14)",0
3,639.1942501068115,"(190, 9)",0
3,566.3928985595703,"(142, 13)",0
3,845.9670543670654,"(152, 27)",0
3,752.4459362030029,"(218, 7)",0
3,597.9888439178467,"(178, -11)",0
3,649.371862411499,"(199, -7)",0
3,521.4202404022217,"(140, -10)",0
3,569.9601173400879,"(154, -10)",0
3,579.4496536254883,"(175, -8)",0
4,901.1819362640381,"(-87, 6)",0
4,787.3530387878418,"(-76, -3)",0
4,935.1930618286133,"(-87, -4)",0
4,1164.0849113464355,"(-86, 3)",0
4,1329.5331001281738,"(-80, 2)",0
4,815.6750202178955,"(-91, -14)",0
4,697.0429420471191,"(-74, 2)",0
4,983.8581085205078,"(-77, -4)",0
4,781.735897064209,"(-72, 3)",0
4,763.5507583618164,"(-77, 0)",0
5,658.8988304138184,"(-57, 3)",0
5,683.4309101104736,"(-51, -5)",0
5,666.8992042541504,"(-52, -12)",0
5,548.2592582702637,"(-46, 0)",0
5,690.504789352417,"(-91, 29)",0
5,650.8209705352783,"(-79, 3)",0
5,849.984884262085,"(-69, -23)",0
5,565.8478736877441,"(-66, 6)",0
5,566.2581920623779,"(-61, 7)",0
5,686.7587566375732,"(-64, 8)",0
5,600.214958190918,"(-52, 4)",0
6,541.3839817047119,"(-58, 0)",0
6,619.7099685668945,"(0, 0)",0
6,760.6279850006104,"(-42, 2)",0
6,560.9710216522217,"(-29, -16)",0
6,483.42299461364746,"(-1, 0)",0
6,499.9518394470215,"(-72, 7)",0
6,466.2280082702637,"(-31, 0)",0
6,523.8509178161621,"(-37, 0)",0
7,519.8419094085693,"(0, -1)",0
7,565.8349990844727,"(-44, -1)",0
7,474.5931625366211,"(-1, 0)",0
7,449.7380256652832,"(4, 0)",0
7,553.3418655395508,"(0, -1)",0
7,416.55707359313965,"(0, 0)",0
7,483.73985290527344,"(-7, -1)",0
7,415.09103775024414,"(0, 0)",0
7,390.87796211242676,"(0, 0)",0
8,951.9610404968262,"(209, -16)",0
8,1197.5269317626953,"(226, -5)",0
8,1320.195198059082,"(212, 1)",0
8,977.6787757873535,"(223, -10)",0
8,883.2190036773682,"(218, -1)",0
8,1519.4249153137207,"(216, -1)",1
8,1013.7169361114502,"(211, 1)",0
8,1094.8421955108643,"(221, -11)",0
8,1677.6220798492432,"(213, -1)",1
8,867.0570850372314,"(208, -2)",0
8,816.1189556121826,"(230, -1)",0
8,955.1699161529541,"(208, 11)",0
8,1316.8678283691406,"(213, 9)",0
8,934.7951412200928,"(209, 6)",0
9,904.3560028076172,"(215, -66)",0
9,969.4149494171143,"(231, -15)",0
9,838.1047248840332,"(210, -20)",0
9,961.0707759857178,"(244, -1)",0
9,1362.6799583435059,"(245, -10)",0
9,1599.5972156524658,"(224, 1)",0
9,1033.7018966674805,"(210, 10)",0
9,862.5967502593994,"(217, -12)",0
10,844.7279930114746,"(264, -34)",0
10,5240.530967712402,"(277, -41)",0
10,17569.3519115448,"(219, -9)",0
10,723.747730255127,"(213, -3)",0
10,1184.2281818389893,"(228, 11)",0
10,1497.147798538208,"(241, -10)",0
10,749.690055847168,"(243, 11)",0
10,666.8620109558105,"(256, 7)",0
10,634.6869468688965,"(244, 6)",0
10,1190.6960010528564,"(300, 29)",1
10,759.4220638275146,"(247, 5)",0
10,629.4257640838623,"(262, -15)",0
11,705.7650089263916,"(282, 14)",0
11,962.7108573913574,"(277, 1)",0
11,1203.0489444732666,"(336, 3)",0
11,569.1618919372559,"(348, 11)",0
11,582.4911594390869,"(317, -68)",0
11,554.5752048492432,"(310, 12)",0
11,610.90087890625,"(302, 16)",0
11,658.0719947814941,"(298, 35)",0
11,1986.3529205322266,"(287, -36)",0
11,584.662914276123,"(314, -20)",0
11,589.015007019043,"(269, 36)",0
11,799.8762130737305,"(288, -18)",0
12,1164.405107498169,"(-175, -7)",0
12,1216.2718772888184,"(-178, 10)",0
12,805.7601451873779,"(-187, -13)",0
12,898.0369567871094,"(-178, -9)",0
12,865.0588989257812,"(-192, 4)",0
12,883.4941387176514,"(-185, 3)",0
12,1296.4081764221191,"(-182, 13)",0
13,828.0971050262451,"(-185, -5)",0
13,1031.4371585845947,"(-145, -4)",0
13,751.7461776733398,"(-162, 2)",0
13,1204.725980758667,"(-182, 14)",0
13,1219.1801071166992,"(-156, 5)",0
13,584.9709510803223,"(-173, 2)",0
13,697.5789070129395,"(-154, 2)",0
13,1184.2739582061768,"(-144, -18)",1
13,887.5539302825928,"(-159, -7)",0
13,921.4210510253906,"(-143, 2)",0
13,1073.0838775634766,"(-179, 15)",0
13,700.2568244934082,"(-157, -5)",0
13,697.699785232544,"(-172, 6)",0
13,1155.961275100708,"(-156, -1)",1
13,871.7441558837891,"(-158, -10)",0
14,746.3822364807129,"(-133, -2)",0
14,597.4481105804443,"(-117, -14)",0
14,568.1250095367432,"(-165, 18)",0
14,634.3719959259033,"(-105, -2)",0
14,583.7490558624268,"(-157, -15)",0
14,579.4057846069336,"(-112, 1)",0
14,619.2219257354736,"(-103, -5)",0
14,716.3760662078857,"(-145, -18)",0
14,613.0399703979492,"(-110, 13)",0
15,655.1790237426758,"(0, -1)",0
15,3883.6469650268555,"(0, -1)",0
15,472.4001884460449,"(38, 2)",0
15,482.61094093322754,"(0, 0)",0
15,519.1442966461182,"(-67, 3)",0
15,526.7510414123535,"(3, 0)",0
15,550.7292747497559,"(-34, 6)",0
15,673.2909679412842,"(0, 0)",0
15,655.4780006408691,"(-17, 0)",0
15,479.97212409973145,"(-3, 0)",0
15,525.9709358215332,"(-57, 0)",0
15,481.35876655578613,"(-18, 3)",0
15,533.9760780334473,"(-46, 0)",0
15,466.61901473999023,"(-43, 0)",0
16,1858.2398891448975,"(326, 2)",1
16,1285.750150680542,"(316, 15)",0
16,916.1219596862793,"(319, -12)",0
16,1151.7770290374756,"(308, 8)",0
16,1599.1148948669434,"(317, 3)",1
16,917.6876544952393,"(325, 11)",0
16,1218.3082103729248,"(325, 1)",0
16,1081.5620422363281,"(311, -2)",0
16,819.8757171630859,"(329, 2)",0
16,1414.6411418914795,"(305, -8)",0
16,1100.3680229187012,"(322, -8)",0
17,1225.478172302246,"(308, -4)",0
17,1031.8608283996582,"(340, -13)",0
17,938.7221336364746,"(306, 0)",0
17,1037.6040935516357,"(353, -8)",0
17,1003.3841133117676,"(324, 10)",0
17,972.182035446167,"(320, -11)",0
17,851.142168045044,"(327, 5)",0
17,1342.0007228851318,"(340, 7)",1
17,913.9759540557861,"(329, 15)",0
17,948.1759071350098,"(323, 12)",0
17,969.9621200561523,"(349, -11)",0
17,5595.008850097656,"(338, -4)",0
18,721.6289043426514,"(364, -9)",0
18,884.2318058013916,"(346, 3)",0
18,1041.4316654205322,"(323, -7)",0
18,950.4690170288086,"(392, -17)",0
18,889.8789882659912,"(384, 29)",0
18,914.794921875,"(330, -4)",0
18,948.6758708953857,"(328, 0)",0
19,880.7668685913086,"(357, 1)",0
19,793.6367988586426,"(348, -11)",0
19,888.519287109375,"(428, 4)",0
19,643.139123916626,"(339, 13)",0
19,605.7329177856445,"(344, 7)",0
19,822.4778175354004,"(319, 38)",0
19,833.9471817016602,"(324, 39)",0
20,1365.760087966919,"(-284, 10)",0
20,975.5048751831055,"(-287, -6)",0
20,1085.6778621673584,"(-276, 3)",0
20,1014.578104019165,"(-285, 3)",0
20,1169.0030097961426,"(-281, 3)",0
20,962.2631072998047,"(-290, -10)",0
20,993.2699203491211,"(-280, 1)",0
20,1075.3438472747803,"(-280, -1)",0
20,10883.02493095398,"(-282, -8)",0
20,4617.104053497314,"(-286, -3)",0
20,1472.226858139038,"(-281, 7)",1
20,903.3880233764648,"(-282, -11)",0
20,3882.6701641082764,"(-292, -1)",0
20,1078.2051086425781,"(-284, -1)",0
20,1483.4990501403809,"(-286, -9)",0
20,807.9652786254883,"(-280, 4)",0
21,842.353105545044,"(-274, -7)",0
21,1116.9970035552979,"(-280, 5)",0
21,1319.7481632232666,"(-282, 6)",0
21,930.8741092681885,"(-252, 4)",0
21,1038.6548042297363,"(-259, 2)",0
21,850.9368896484375,"(-265, -2)",0
21,717.158317565918,"(-259, -19)",0
21,842.8161144256592,"(-266, 7)",0
22,700.192928314209,"(-263, -11)",0
22,566.00022315979,"(-174, 1)",0
22,1030.7438373565674,"(-226, -21)",0
22,982.0671081542969,"(-285, -28)",0
22,901.141881942749,"(-277, -16)",0
22,1097.5968837738037,"(-232, 15)",0
22,663.776159286499,"(-233, -12)",0
22,611.1021041870117,"(-212, -13)",0
22,648.9741802215576,"(-199, 0)",0
22,1116.1153316497803,"(-193, 32)",0
22,586.838960647583,"(-260, -7)",0
22,634.7901821136475,"(-241, 4)",0
22,690.9289360046387,"(-243, 7)",0
23,830.8579921722412,"(-128, -4)",0
23,535.9580516815186,"(-204, -9)",0
23,562.0861053466797,"(-152, 39)",0
23,827.4710178375244,"(-126, -4)",0
23,584.6500396728516,"(-168, -3)",0
23,633.3239078521729,"(-144, 30)",0
23,687.9470348358154,"(-131, 33)",1
23,948.5423564910889,"(-124, -1)",0
23,637.1331214904785,"(-140, -13)",0
23,699.3069648742676,"(-158, -20)",0
24,955.686092376709,"(420, -9)",0
24,1161.726951599121,"(421, 12)",0
24,1671.9069480895996,"(425, 5)",0
24,1313.5390281677246,"(410, -6)",0
24,997.4319934844971,"(412, 8)",0
24,1034.1088771820068,"(408, 4)",0
24,1032.155990600586,"(408, 4)",0
24,1128.859043121338,"(413, -4)",0
25,899.0881443023682,"(427, -7)",0
25,867.1360015869141,"(440, -1)",0
25,1055.3169250488281,"(425, -2)",0
25,951.3883590698242,"(451, 18)",0
25,1069.7729587554932,"(434, -1)",0
25,1219.9032306671143,"(434, -16)",0
25,832.7877521514893,"(409, 5)",0
25,1607.410192489624,"(420, -6)",1
25,1351.2778282165527,"(424, 4)",0
25,8416.388988494873,"(419, -21)",0
25,1064.7060871124268,"(418, 4)",0
26,798.7902164459229,"(414, -7)",0
26,1013.484001159668,"(420, 15)",0
26,1227.6859283447266,"(462, 30)",0
26,1252.4149417877197,"(434, -44)",0
26,996.5670108795166,"(450, -25)",0
26,1318.361759185791,"(424, -5)",0
26,809.0178966522217,"(462, 10)",0
27,986.8800640106201,"(479, -13)",0
27,1080.3546905517578,"(479, 17)",0
27,815.8180713653564,"(437, -11)",0
27,1134.3953609466553,"(422, -34)",0
27,885.7338428497314,"(441, 81)",0
27,830.0402164459229,"(432, -7)",0
27,834.2719078063965,"(452, 54)",0
27,1312.2310638427734,"(478, -30)",0
27,1048.1090545654297,"(442, 48)",0
27,1682.4047565460205,"(432, -39)",1
27,1052.7398586273193,"(435, 14)",0
28,1011.9411945343018,"(-384, -8)",0
28,2235.156774520874,"(-378, 12)",0
28,1304.5251369476318,"(-385, -7)",0
28,928.6549091339111,"(-376, -14)",0
28,1052.433729171753,"(-377, 10)",0
28,1386.3060474395752,"(-393, 0)",0
28,1549.4468212127686,"(-378, -8)",0
28,1516.179084777832,"(-390, -1)",0
28,1203.5057544708252,"(-382, -2)",0
28,1076.5788555145264,"(-390, 0)",0
29,1185.3013038635254,"(-351, 1)",0
29,799.2508411407471,"(-357, -13)",0
29,1359.06982421875,"(-374, -4)",0
29,1420.673131942749,"(-373, 4)",0
29,941.8747425079346,"(-364, -8)",0
29,1124.8490810394287,"(-365, 10)",0
29,900.0210762023926,"(-391, 8)",0
29,1133.134126663208,"(-362, 11)",0
29,1218.3597087860107,"(-355, -2)",0
29,826.5719413757324,"(-352, -4)",0
30,1002.448320388794,"(-365, -6)",0
30,934.3559741973877,"(-291, -30)",0
30,922.8711128234863,"(-306, 12)",0
30,938.0538463592529,"(-295, 9)",0
30,926.4419078826904,"(-312, -41)",0
31,598.278284072876,"(-200, -8)",0
31,659.3148708343506,"(-256, 60)",0
31,675.7462024688721,"(-205, 33)",0
31,1458.2388401031494,"(-247, -34)",0
31,676.1860847473145,"(-230, -23)",0
31,595.8518981933594,"(-232, -17)",0
31,558.9900016784668,"(-314, -2)",0
