Permuatation,Time to Complete,Distance Moved,Error
0,995.5580234527588,"(0, 0)",0
0,715.7034873962402,"(0, 0)",0
0,737.7514839172363,"(0, 0)",0
0,1238.4674549102783,"(0, 0)",2
0,738.0335330963135,"(0, 0)",0
0,560.0242614746094,"(0, 0)",0
0,904.843807220459,"(0, 0)",0
0,788.0373001098633,"(0, 0)",0
1,825.998067855835,"(0, 0)",0
1,656.0897827148438,"(0, 0)",0
1,734.398603439331,"(0, 0)",0
1,531.435489654541,"(0, 0)",0
1,1018.5296535491943,"(0, 0)",1
1,661.0302925109863,"(0, 0)",0
1,685.0101947784424,"(0, 0)",0
1,604.2542457580566,"(0, 0)",0
1,596.1868762969971,"(0, 0)",1
2,447.2060203552246,"(0, 0)",0
2,568.0818557739258,"(0, 0)",0
2,426.01943016052246,"(0, 0)",0
2,897.2251415252686,"(0, 0)",1
2,571.2358951568604,"(0, 0)",0
2,438.08436393737793,"(0, 0)",0
2,463.20104598999023,"(0, 0)",0
2,515.021800994873,"(0, 0)",0
2,644.0303325653076,"(0, 0)",0
2,687.5622272491455,"(0, 0)",1
2,597.5568294525146,"(0, 0)",1
2,655.1194190979004,"(0, 0)",0
2,528.0218124389648,"(0, 0)",0
2,448.96864891052246,"(0, 0)",0
2,490.1716709136963,"(0, 0)",0
2,547.6236343383789,"(0, 0)",0
3,490.0238513946533,"(0, 0)",0
3,319.74101066589355,"(0, 0)",0
3,393.0187225341797,"(0, 0)",0
3,383.01944732666016,"(0, 0)",0
3,434.0708255767822,"(0, 0)",0
3,494.093656539917,"(0, 0)",0
3,483.02245140075684,"(0, 0)",0
4,1400.2070426940918,"(0, 0)",1
4,776.0369777679443,"(0, 0)",0
4,887.340784072876,"(0, 0)",0
4,1482.8665256500244,"(0, 0)",2
4,744.2858219146729,"(0, 0)",0
4,519.977331161499,"(0, 0)",0
4,881.889820098877,"(0, 0)",0
4,473.9203453063965,"(0, 0)",0
4,1791.7110919952393,"(0, 0)",2
4,712.3241424560547,"(0, 0)",0
5,510.25843620300293,"(0, 0)",0
5,410.56203842163086,"(0, 0)",0
5,460.6633186340332,"(0, 0)",0
5,397.8574275970459,"(0, 0)",0
5,744.6482181549072,"(0, 0)",1
6,636.2278461456299,"(0, 0)",0
6,740.0341033935547,"(0, 0)",0
6,582.2081565856934,"(0, 0)",0
6,578.697681427002,"(0, 0)",0
6,2591.672658920288,"(0, 0)",1
6,324.3575096130371,"(0, 0)",0
7,646.0282802581787,"(0, 0)",0
7,353.01685333251953,"(0, 0)",0
7,381.99543952941895,"(0, 0)",0
7,392.01951026916504,"(0, 0)",0
7,362.5764846801758,"(0, 0)",0
7,353.9881706237793,"(0, 0)",0
7,361.01651191711426,"(0, 0)",0
