Permuatation,Time to Complete,Distance Moved,Error
0,1301.2759685516357,"(120, 6)",0
0,1170.9578037261963,"(110, -7)",0
0,1011.1672878265381,"(119, 4)",0
0,823.58717918396,"(123, -1)",0
0,1426.1143207550049,"(117, 1)",0
0,760.8377933502197,"(124, 2)",0
0,1420.2337265014648,"(108, -2)",0
0,1119.1394329071045,"(121, 2)",0
0,1077.9550075531006,"(124, 5)",0
0,883.5666179656982,"(119, -4)",0
1,753.2422542572021,"(133, 13)",0
1,901.5960693359375,"(151, 0)",0
1,1176.67818069458,"(150, 0)",0
1,1547.8930473327637,"(132, 4)",1
1,701.1895179748535,"(139, -4)",0
1,837.3866081237793,"(140, -2)",0
1,1164.515495300293,"(147, 2)",1
1,917.1440601348877,"(126, 1)",0
1,1243.4496879577637,"(136, 2)",0
1,925.6107807159424,"(137, 5)",0
1,766.9980525970459,"(128, -6)",0
1,1114.3734455108643,"(146, 5)",0
1,1090.135097503662,"(144, -9)",0
1,1014.2192840576172,"(155, 4)",0
1,751.4710426330566,"(116, -4)",0
2,1189.176082611084,"(127, 4)",0
2,633.6081027984619,"(175, -17)",0
2,995.9697723388672,"(149, -2)",0
3,670.6233024597168,"(163, 22)",0
3,630.6638717651367,"(286, 6)",0
3,941.3819313049316,"(147, 30)",0
3,701.2903690338135,"(176, -19)",0
3,866.929292678833,"(217, 20)",0
3,802.7739524841309,"(210, 16)",0
3,669.4576740264893,"(238, -2)",0
3,845.8526134490967,"(191, 0)",0
3,1016.9720649719238,"(192, -6)",0
3,635.8826160430908,"(229, -16)",0
3,794.4431304931641,"(159, 1)",0
3,908.7619781494141,"(157, -5)",0
4,1124.5579719543457,"(-77, -2)",0
4,1244.1511154174805,"(-77, 0)",0
4,895.0157165527344,"(-90, -4)",0
4,1119.3768978118896,"(-93, -10)",0
4,967.3893451690674,"(-93, 5)",0
4,1072.8776454925537,"(-86, 4)",0
4,2411.832571029663,"(-83, 4)",0
4,691.1005973815918,"(-91, 3)",0
5,1156.4602851867676,"(-67, -9)",0
5,917.306661605835,"(-75, -1)",0
5,664.8409366607666,"(-73, -4)",0
5,853.4219264984131,"(-68, -4)",0
5,735.2912425994873,"(-53, 6)",0
5,1156.5141677856445,"(-61, -9)",0
5,661.7119312286377,"(-100, 8)",0
5,1160.8431339263916,"(-72, -1)",0
5,961.95387840271,"(-52, 5)",0
6,2969.8548316955566,"(-16, -79)",0
6,920.2127456665039,"(-72, -4)",0
6,935.0674152374268,"(-26, -7)",0
6,887.5081539154053,"(-69, -5)",0
6,807.5265884399414,"(9, -20)",0
6,558.6750507354736,"(20, -19)",0
6,1417.2873497009277,"(-54, 5)",0
6,666.7253971099854,"(-16, -3)",0
6,634.3872547149658,"(-66, -4)",0
7,590.1248455047607,"(-88, -11)",0
7,669.1992282867432,"(78, 8)",0
7,473.3250141143799,"(-36, 6)",0
7,705.5954933166504,"(-74, -29)",0
7,891.4453983306885,"(-51, 12)",0
7,845.1082706451416,"(101, -7)",0
7,462.68343925476074,"(-12, 2)",0
7,1036.8890762329102,"(-25, -9)",0
7,480.33809661865234,"(-26, -1)",0
7,797.7571487426758,"(-17, -3)",0
7,1123.5527992248535,"(91, -70)",0
7,1076.982021331787,"(-27, -3)",0
8,1633.7296962738037,"(217, 3)",0
8,1110.518217086792,"(227, -3)",0
8,857.147216796875,"(216, 9)",0
8,1373.988151550293,"(214, 10)",0
8,1169.9931621551514,"(226, 10)",0
8,883.5947513580322,"(221, -3)",0
8,1228.278636932373,"(214, 7)",0
8,1478.865146636963,"(217, -6)",0
8,1513.04292678833,"(222, -3)",0
8,1229.966163635254,"(223, 10)",0
