Permuatation,Time to Complete,Distance Moved,Error
0,1283.8311195373535,"(123, 0)",0
0,853.3120155334473,"(117, 2)",0
0,1102.0770072937012,"(109, -2)",0
0,1022.6109027862549,"(115, 5)",0
0,931.9562911987305,"(119, 6)",0
0,908.8234901428223,"(129, 3)",0
0,765.5849456787109,"(127, 1)",0
0,908.1254005432129,"(115, 1)",0
0,1152.529001235962,"(122, -3)",0
1,1031.9206714630127,"(130, -2)",0
1,857.832670211792,"(118, 12)",0
1,893.0139541625977,"(121, 4)",0
1,866.6629791259766,"(116, 2)",0
1,1049.654483795166,"(127, 10)",0
1,817.7750110626221,"(115, 2)",0
1,790.7686233520508,"(129, 13)",0
1,630.7516098022461,"(142, 6)",0
1,715.8794403076172,"(131, 8)",0
1,824.6867656707764,"(132, 2)",0
1,546.4930534362793,"(147, -5)",0
1,899.9319076538086,"(133, -1)",0
1,802.5150299072266,"(137, 4)",0
2,643.4118747711182,"(174, 3)",0
2,732.4368953704834,"(129, 8)",0
2,433.7151050567627,"(180, -8)",0
2,791.2688255310059,"(169, 8)",0
2,627.9866695404053,"(127, -1)",0
2,640.6295299530029,"(162, 4)",0
2,661.4751815795898,"(180, 4)",0
2,556.6956996917725,"(127, 8)",0
3,608.9386940002441,"(189, 1)",0
3,445.07622718811035,"(234, -13)",0
3,448.43101501464844,"(229, 10)",0
3,478.5585403442383,"(243, 11)",0
3,618.1175708770752,"(138, 1)",0
3,604.8390865325928,"(210, 18)",0
3,737.7865314483643,"(192, -6)",0
3,477.53000259399414,"(230, 2)",0
3,603.8591861724854,"(192, 1)",0
3,601.6027927398682,"(166, 8)",0
4,609.2469692230225,"(-84, -2)",0
4,631.3419342041016,"(-91, -3)",0
4,702.4989128112793,"(-99, -2)",0
5,732.1343421936035,"(-75, 6)",0
5,854.9368381500244,"(-71, -4)",0
5,774.573802947998,"(-73, 4)",0
5,725.8338928222656,"(-77, -4)",0
5,641.2136554718018,"(-59, -2)",0
5,650.3536701202393,"(-80, -6)",0
5,739.8827075958252,"(-45, -6)",0
5,876.1098384857178,"(-70, 2)",0
5,725.9268760681152,"(-89, 12)",0
5,920.4666614532471,"(-50, 8)",0
6,5590.728044509888,"(-94, -61)",0
6,616.3110733032227,"(-16, 2)",0
6,414.11423683166504,"(-14, 8)",0
6,712.601900100708,"(-55, -7)",0
6,758.3773136138916,"(-20, 4)",0
6,874.6232986450195,"(-50, -2)",0
7,659.9717140197754,"(-24, 8)",0
7,520.751953125,"(52, 8)",0
7,709.1493606567383,"(-37, -2)",0
7,440.1969909667969,"(105, 5)",0
7,472.5039005279541,"(-2, 0)",0
7,494.5712089538574,"(-83, 8)",0
7,565.258264541626,"(-48, 8)",0
8,1328.4907341003418,"(207, 1)",0
8,693.1586265563965,"(221, 1)",0
8,1093.360424041748,"(218, 6)",0
8,1252.2437572479248,"(213, 5)",0
8,673.0437278747559,"(229, 4)",0
8,680.2871227264404,"(218, 5)",0
8,1041.5656566619873,"(219, 1)",0
8,663.3594036102295,"(230, 3)",0
